  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  251   144.5852    .224277   5.68760   -.97656   8.57629   3.67762  20.32107   2.44579
  252   144.3744    .223950   5.58589   -.99793   8.59697   3.66363  20.32109   2.44578
  253   144.1216    .223558   5.46561  -1.01890   8.61756   3.64967  20.32111   2.44577
  254   143.7737    .223018   5.32577  -1.03941   8.63804   3.63575  20.32113   2.44576
  255   143.4056    .222447   5.16585  -1.05936   8.65842   3.62188  20.32115   2.44576
  256   143.0306    .221865   4.98592  -1.07865   8.67867   3.60807  20.32117   2.44575
  257   142.5736    .221157   4.78694  -1.09717   8.69878   3.59433  20.32119   2.44575
  258   142.0828    .220395   4.57097  -1.11480   8.71876   3.58066  20.32121   2.44574
  259   141.5959    .219640   4.34120  -1.13143   8.73858   3.56707  20.32123   2.44574
  260   141.0492    .218792   4.10221  -1.14691   8.75824   3.55357  20.32125   2.44574
  261   140.5376    .217998   3.85998  -1.16112   8.77775   3.54014  20.32127   2.44574
  262   140.0912    .217306   3.62181  -1.17391   8.79711   3.52679  20.32129   2.44575
  263   139.6537    .216627   3.39604  -1.18514   8.81632   3.51352  20.32131   2.44575
  264   139.3224    .216113   3.19150  -1.19470   8.83540   3.50031  20.32133   2.44576
  265   139.1361    .215824   3.01709  -1.20247   8.85437   3.48714  20.32136   2.44577
  266   139.0700    .215722   2.88101  -1.20836   8.87325   3.47401  20.32138   2.44579
  267   139.1452    .215839   2.79012  -1.21228   8.89207   3.46089  20.32140   2.44581
  268   139.3709    .216189   2.74922  -1.21418   8.91085   3.44776  20.32142   2.44583
  269   139.7814    .216825   2.76057  -1.21405   8.92963   3.43461  20.32144   2.44585
  270   140.3665    .217733   2.82367  -1.21190   8.94845   3.42140  20.32147   2.44587
  271   141.0928    .218860   2.93535  -1.20774   8.96732   3.40811  20.32149   2.44590
